protocol,model,actual_label,predicted_label,count
random_seed_holdout,raw_lr,0,0,39
random_seed_holdout,raw_lr,0,1,0
random_seed_holdout,raw_lr,0,2,0
random_seed_holdout,raw_lr,0,3,1
random_seed_holdout,raw_lr,0,4,0
random_seed_holdout,raw_lr,0,5,0
random_seed_holdout,raw_lr,0,6,0
random_seed_holdout,raw_lr,0,7,0
random_seed_holdout,raw_lr,1,0,0
random_seed_holdout,raw_lr,1,1,35
random_seed_holdout,raw_lr,1,2,1
random_seed_holdout,raw_lr,1,3,0
random_seed_holdout,raw_lr,1,4,0
random_seed_holdout,raw_lr,1,5,3
random_seed_holdout,raw_lr,1,6,1
random_seed_holdout,raw_lr,1,7,0
random_seed_holdout,raw_lr,2,0,0
random_seed_holdout,raw_lr,2,1,0
random_seed_holdout,raw_lr,2,2,32
random_seed_holdout,raw_lr,2,3,1
random_seed_holdout,raw_lr,2,4,5
random_seed_holdout,raw_lr,2,5,0
random_seed_holdout,raw_lr,2,6,2
random_seed_holdout,raw_lr,2,7,0
random_seed_holdout,raw_lr,3,0,3
random_seed_holdout,raw_lr,3,1,0
random_seed_holdout,raw_lr,3,2,0
random_seed_holdout,raw_lr,3,3,37
random_seed_holdout,raw_lr,3,4,0
random_seed_holdout,raw_lr,3,5,0
random_seed_holdout,raw_lr,3,6,0
random_seed_holdout,raw_lr,3,7,0
random_seed_holdout,raw_lr,4,0,0
random_seed_holdout,raw_lr,4,1,0
random_seed_holdout,raw_lr,4,2,3
random_seed_holdout,raw_lr,4,3,0
random_seed_holdout,raw_lr,4,4,40
random_seed_holdout,raw_lr,4,5,0
random_seed_holdout,raw_lr,4,6,0
random_seed_holdout,raw_lr,4,7,0
random_seed_holdout,raw_lr,5,0,0
random_seed_holdout,raw_lr,5,1,3
random_seed_holdout,raw_lr,5,2,0
random_seed_holdout,raw_lr,5,3,0
random_seed_holdout,raw_lr,5,4,0
random_seed_holdout,raw_lr,5,5,29
random_seed_holdout,raw_lr,5,6,6
random_seed_holdout,raw_lr,5,7,2
random_seed_holdout,raw_lr,6,0,0
random_seed_holdout,raw_lr,6,1,4
random_seed_holdout,raw_lr,6,2,2
random_seed_holdout,raw_lr,6,3,0
random_seed_holdout,raw_lr,6,4,0
random_seed_holdout,raw_lr,6,5,4
random_seed_holdout,raw_lr,6,6,30
random_seed_holdout,raw_lr,6,7,0
random_seed_holdout,raw_lr,7,0,0
random_seed_holdout,raw_lr,7,1,0
random_seed_holdout,raw_lr,7,2,0
random_seed_holdout,raw_lr,7,3,0
random_seed_holdout,raw_lr,7,4,0
random_seed_holdout,raw_lr,7,5,0
random_seed_holdout,raw_lr,7,6,0
random_seed_holdout,raw_lr,7,7,33
random_seed_holdout,raw_svm,0,0,38
random_seed_holdout,raw_svm,0,1,0
random_seed_holdout,raw_svm,0,2,0
random_seed_holdout,raw_svm,0,3,2
random_seed_holdout,raw_svm,0,4,0
random_seed_holdout,raw_svm,0,5,0
random_seed_holdout,raw_svm,0,6,0
random_seed_holdout,raw_svm,0,7,0
random_seed_holdout,raw_svm,1,0,0
random_seed_holdout,raw_svm,1,1,31
random_seed_holdout,raw_svm,1,2,2
random_seed_holdout,raw_svm,1,3,0
random_seed_holdout,raw_svm,1,4,1
random_seed_holdout,raw_svm,1,5,5
random_seed_holdout,raw_svm,1,6,1
random_seed_holdout,raw_svm,1,7,0
random_seed_holdout,raw_svm,2,0,0
random_seed_holdout,raw_svm,2,1,2
random_seed_holdout,raw_svm,2,2,24
random_seed_holdout,raw_svm,2,3,1
random_seed_holdout,raw_svm,2,4,6
random_seed_holdout,raw_svm,2,5,3
random_seed_holdout,raw_svm,2,6,3
random_seed_holdout,raw_svm,2,7,1
random_seed_holdout,raw_svm,3,0,6
random_seed_holdout,raw_svm,3,1,0
random_seed_holdout,raw_svm,3,2,0
random_seed_holdout,raw_svm,3,3,34
random_seed_holdout,raw_svm,3,4,0
random_seed_holdout,raw_svm,3,5,0
random_seed_holdout,raw_svm,3,6,0
random_seed_holdout,raw_svm,3,7,0
random_seed_holdout,raw_svm,4,0,0
random_seed_holdout,raw_svm,4,1,0
random_seed_holdout,raw_svm,4,2,3
random_seed_holdout,raw_svm,4,3,0
random_seed_holdout,raw_svm,4,4,34
random_seed_holdout,raw_svm,4,5,0
random_seed_holdout,raw_svm,4,6,1
random_seed_holdout,raw_svm,4,7,5
random_seed_holdout,raw_svm,5,0,0
random_seed_holdout,raw_svm,5,1,5
random_seed_holdout,raw_svm,5,2,1
random_seed_holdout,raw_svm,5,3,0
random_seed_holdout,raw_svm,5,4,0
random_seed_holdout,raw_svm,5,5,21
random_seed_holdout,raw_svm,5,6,9
random_seed_holdout,raw_svm,5,7,4
random_seed_holdout,raw_svm,6,0,0
random_seed_holdout,raw_svm,6,1,5
random_seed_holdout,raw_svm,6,2,8
random_seed_holdout,raw_svm,6,3,0
random_seed_holdout,raw_svm,6,4,0
random_seed_holdout,raw_svm,6,5,11
random_seed_holdout,raw_svm,6,6,15
random_seed_holdout,raw_svm,6,7,1
random_seed_holdout,raw_svm,7,0,0
random_seed_holdout,raw_svm,7,1,1
random_seed_holdout,raw_svm,7,2,0
random_seed_holdout,raw_svm,7,3,0
random_seed_holdout,raw_svm,7,4,0
random_seed_holdout,raw_svm,7,5,0
random_seed_holdout,raw_svm,7,6,0
random_seed_holdout,raw_svm,7,7,32
random_seed_holdout,raw_pls_da,0,0,39
random_seed_holdout,raw_pls_da,0,1,0
random_seed_holdout,raw_pls_da,0,2,0
random_seed_holdout,raw_pls_da,0,3,1
