sample_index,label,source_cube,cube_replicate,seed_id,relative_csv_path,file_sha256,class_name
0,0,0-1,1,1,data/0-1/1.csv,e7b2110341039e692617534dd6a4ab3c9ebf7557f6e5a32eb6c39adb4be070fb,HBS
1,0,0-1,1,10,data/0-1/10.csv,63ac8e610f72820f74f97c615cc63360408a05922a255f5c11595ad6670ea628,HBS
2,0,0-1,1,11,data/0-1/11.csv,8575bcea202a1981588eea0d6dd649a6294cf11e35515711d9d9fa26c6e333d4,HBS
3,0,0-1,1,12,data/0-1/12.csv,be175a548977cf25bbe7882d6961d4c634d5a0ea4fb8bdbfc6a1fe1f14f7784c,HBS
4,0,0-1,1,13,data/0-1/13.csv,127bb472d9132ceca57c20b67ca59b5f90758c88968e988b0bee56560f1f4d46,HBS
5,0,0-1,1,14,data/0-1/14.csv,b951562cf81fd7e35a9f5eac78b06a1e9509f3c4d571b8a045c0f9af6a990750,HBS
6,0,0-1,1,15,data/0-1/15.csv,dd6074320baf632c7d76b76c0c80776c2b2637da599c85ba94e24e4876925875,HBS
7,0,0-1,1,16,data/0-1/16.csv,44c568f67188a72d563eeac3a8e3f9485478520ccc3793202ec75ee9ef1a2253,HBS
8,0,0-1,1,17,data/0-1/17.csv,d320e00385fe13d78c60f4b78524a5ceb44a0fb6e1d0ca8ef8fac313eae5b4dc,HBS
9,0,0-1,1,18,data/0-1/18.csv,f1854c4b5bcc32b8295e94b000bca7bf60496ed9644a1240ea4ab5359e358496,HBS
10,0,0-1,1,19,data/0-1/19.csv,c4961b8c627bcfa3cd8c4339c7fe9124557b560f889c618a83f7d0c5db60784b,HBS
11,0,0-1,1,2,data/0-1/2.csv,f675fc1dc6cee6bd25222a32ca0efc7431d6bb30b19b36ee6fc5bef8703ba348,HBS
12,0,0-1,1,20,data/0-1/20.csv,5d963927cc470d898ba65a9682764fb6bc2bd7dbdbcbd2b3e7410bce3d208a4c,HBS
13,0,0-1,1,21,data/0-1/21.csv,02c60fc5473e244572e4093490d202fd9145c191a72874d7aa01d20fc0f65726,HBS
14,0,0-1,1,22,data/0-1/22.csv,9bbc5d1917e73119b07366e86b4a762a276b316f321dad065e712c3c799b68d3,HBS
15,0,0-1,1,23,data/0-1/23.csv,e8ea5487b5ce75100fe76d07db73f0226973500553abbb91232e49fed7967cc1,HBS
16,0,0-1,1,24,data/0-1/24.csv,3fc085510769adf000cdbd1a4c7e7ee26b8ca278896c4aeccc620e81a02524d0,HBS
