protocol,model,held_out_cube,held_out_label,n_test_seeds,n_correct,accuracy
leave_one_cube_out,raw_lr,0-1,0,80,68,0.85
leave_one_cube_out,raw_lr,0-2,0,80,67,0.8375
leave_one_cube_out,raw_lr,1-1,1,80,62,0.775
leave_one_cube_out,raw_lr,1-2,1,80,71,0.8875
leave_one_cube_out,raw_lr,2-1,2,80,43,0.5375
leave_one_cube_out,raw_lr,2-2,2,80,46,0.575
leave_one_cube_out,raw_lr,3-1,3,80,67,0.8375
leave_one_cube_out,raw_lr,3-2,3,80,59,0.7375
leave_one_cube_out,raw_lr,4-1,4,90,76,0.8444444444444444
leave_one_cube_out,raw_lr,4-2,4,80,72,0.9
leave_one_cube_out,raw_lr,5-1,5,80,42,0.525
leave_one_cube_out,raw_lr,5-2,5,80,25,0.3125
leave_one_cube_out,raw_lr,6-1,6,80,28,0.35
leave_one_cube_out,raw_lr,6-2,6,80,31,0.3875
leave_one_cube_out,raw_lr,7-1,7,80,79,0.9875
leave_one_cube_out,raw_lr,7-2,7,54,51,0.9444444444444444
leave_one_cube_out,raw_svm,0-1,0,80,53,0.6625
leave_one_cube_out,raw_svm,0-2,0,80,52,0.65
leave_one_cube_out,raw_svm,1-1,1,80,40,0.5
leave_one_cube_out,raw_svm,1-2,1,80,41,0.5125
leave_one_cube_out,raw_svm,2-1,2,80,25,0.3125
leave_one_cube_out,raw_svm,2-2,2,80,34,0.425
leave_one_cube_out,raw_svm,3-1,3,80,63,0.7875
leave_one_cube_out,raw_svm,3-2,3,80,48,0.6
leave_one_cube_out,raw_svm,4-1,4,90,60,0.6666666666666666
leave_one_cube_out,raw_svm,4-2,4,80,62,0.775
leave_one_cube_out,raw_svm,5-1,5,80,19,0.2375
leave_one_cube_out,raw_svm,5-2,5,80,20,0.25
leave_one_cube_out,raw_svm,6-1,6,80,1,0.0125
leave_one_cube_out,raw_svm,6-2,6,80,3,0.0375
leave_one_cube_out,raw_svm,7-1,7,80,74,0.925
leave_one_cube_out,raw_svm,7-2,7,54,49,0.9074074074074074
leave_one_cube_out,raw_pls_da,0-1,0,80,68,0.85
leave_one_cube_out,raw_pls_da,0-2,0,80,61,0.7625
leave_one_cube_out,raw_pls_da,1-1,1,80,75,0.9375
leave_one_cube_out,raw_pls_da,1-2,1,80,78,0.975
leave_one_cube_out,raw_pls_da,2-1,2,80,29,0.3625
leave_one_cube_out,raw_pls_da,2-2,2,80,25,0.3125
leave_one_cube_out,raw_pls_da,3-1,3,80,52,0.65
leave_one_cube_out,raw_pls_da,3-2,3,80,49,0.6125
leave_one_cube_out,raw_pls_da,4-1,4,90,47,0.5222222222222223
leave_one_cube_out,raw_pls_da,4-2,4,80,48,0.6
leave_one_cube_out,raw_pls_da,5-1,5,80,38,0.475
leave_one_cube_out,raw_pls_da,5-2,5,80,28,0.35
leave_one_cube_out,raw_pls_da,6-1,6,80,40,0.5
leave_one_cube_out,raw_pls_da,6-2,6,80,58,0.725
leave_one_cube_out,raw_pls_da,7-1,7,80,38,0.475
leave_one_cube_out,raw_pls_da,7-2,7,54,51,0.9444444444444444
leave_one_cube_out,raw_rf,0-1,0,80,45,0.5625
leave_one_cube_out,raw_rf,0-2,0,80,50,0.625
leave_one_cube_out,raw_rf,1-1,1,80,35,0.4375
leave_one_cube_out,raw_rf,1-2,1,80,25,0.3125
leave_one_cube_out,raw_rf,2-1,2,80,29,0.3625
leave_one_cube_out,raw_rf,2-2,2,80,28,0.35
leave_one_cube_out,raw_rf,3-1,3,80,61,0.7625
leave_one_cube_out,raw_rf,3-2,3,80,43,0.5375
leave_one_cube_out,raw_rf,4-1,4,90,55,0.6111111111111112
leave_one_cube_out,raw_rf,4-2,4,80,60,0.75
leave_one_cube_out,raw_rf,5-1,5,80,24,0.3
leave_one_cube_out,raw_rf,5-2,5,80,19,0.2375
leave_one_cube_out,raw_rf,6-1,6,80,10,0.125
leave_one_cube_out,raw_rf,6-2,6,80,10,0.125
leave_one_cube_out,raw_rf,7-1,7,80,63,0.7875
leave_one_cube_out,raw_rf,7-2,7,54,42,0.7777777777777778
leave_one_cube_out,snv_lr,0-1,0,80,80,1.0
leave_one_cube_out,snv_lr,0-2,0,80,74,0.925
leave_one_cube_out,snv_lr,1-1,1,80,75,0.9375
leave_one_cube_out,snv_lr,1-2,1,80,75,0.9375
leave_one_cube_out,snv_lr,2-1,2,80,49,0.6125
leave_one_cube_out,snv_lr,2-2,2,80,40,0.5
leave_one_cube_out,snv_lr,3-1,3,80,74,0.925
leave_one_cube_out,snv_lr,3-2,3,80,75,0.9375
leave_one_cube_out,snv_lr,4-1,4,90,82,0.9111111111111111
leave_one_cube_out,snv_lr,4-2,4,80,69,0.8625
leave_one_cube_out,snv_lr,5-1,5,80,36,0.45
leave_one_cube_out,snv_lr,5-2,5,80,12,0.15
leave_one_cube_out,snv_lr,6-1,6,80,57,0.7125
leave_one_cube_out,snv_lr,6-2,6,80,69,0.8625
leave_one_cube_out,snv_lr,7-1,7,80,79,0.9875
leave_one_cube_out,snv_lr,7-2,7,54,53,0.9814814814814815
leave_one_cube_out,msc_lr,0-1,0,80,80,1.0
leave_one_cube_out,msc_lr,0-2,0,80,74,0.925
leave_one_cube_out,msc_lr,1-1,1,80,73,0.9125
leave_one_cube_out,msc_lr,1-2,1,80,76,0.95
leave_one_cube_out,msc_lr,2-1,2,80,41,0.5125
leave_one_cube_out,msc_lr,2-2,2,80,24,0.3
leave_one_cube_out,msc_lr,3-1,3,80,74,0.925
leave_one_cube_out,msc_lr,3-2,3,80,76,0.95
leave_one_cube_out,msc_lr,4-1,4,90,56,0.6222222222222222
leave_one_cube_out,msc_lr,4-2,4,80,64,0.8
leave_one_cube_out,msc_lr,5-1,5,80,35,0.4375
leave_one_cube_out,msc_lr,5-2,5,80,12,0.15
leave_one_cube_out,msc_lr,6-1,6,80,55,0.6875
leave_one_cube_out,msc_lr,6-2,6,80,69,0.8625
leave_one_cube_out,msc_lr,7-1,7,80,78,0.975
leave_one_cube_out,msc_lr,7-2,7,54,53,0.9814814814814815
leave_one_cube_out,sg_smooth_lr,0-1,0,80,68,0.85
leave_one_cube_out,sg_smooth_lr,0-2,0,80,67,0.8375
leave_one_cube_out,sg_smooth_lr,1-1,1,80,62,0.775
leave_one_cube_out,sg_smooth_lr,1-2,1,80,71,0.8875
leave_one_cube_out,sg_smooth_lr,2-1,2,80,43,0.5375
