protocol,protocol_zh,model,n_test_seeds,n_correct,accuracy,accuracy_wilson_low,accuracy_wilson_high,accuracy_bootstrap_low,accuracy_bootstrap_high,balanced_accuracy,balanced_accuracy_bootstrap_low,balanced_accuracy_bootstrap_high,macro_f1,macro_f1_bootstrap_low,macro_f1_bootstrap_high,interval_scope
random_seed_holdout,随机种子级 75/25 留出,raw_lr,316,275,0.870253164556962,0.8287129349749616,0.9028995359748486,0.8322784810126582,0.9050632911392406,0.8725290697674419,0.8354417350372313,0.9071540333030639,0.8705538050075934,0.830260295815415,0.9046273934706176,descriptive_seed_level_only
random_seed_holdout,随机种子级 75/25 留出,raw_svm,316,229,0.7246835443037974,0.6729585927504176,0.7710113682533133,0.6772151898734177,0.7721518987341772,0.7294243305144468,0.6892370170820233,0.7733817485092543,0.7190962903419997,0.674135409226654,0.7630371918393616,descriptive_seed_level_only
random_seed_holdout,随机种子级 75/25 留出,raw_pls_da,316,297,0.939873417721519,0.908007582740506,0.9611730451400379,0.9113924050632911,0.9651898734177216,0.9412790697674418,0.9153963090817644,0.9646244736857428,0.9403815687614532,0.9126291548813944,0.9639625126200657,descriptive_seed_level_only
random_seed_holdout,随机种子级 75/25 留出,raw_rf,316,207,0.6550632911392406,0.601073101023726,0.7053287030492716,0.5981012658227848,0.7056962025316456,0.6584588618745595,0.606385866157812,0.7047397788601685,0.6523884873456791,0.5959883957953065,0.6975788080502171,descriptive_seed_level_only
random_seed_holdout,随机种子级 75/25 留出,snv_lr,316,305,0.9651898734177216,0.9387520439002679,0.9804533683187246,0.9430379746835443,0.9841772151898734,0.9660610465116279,0.9454522585303988,0.9850277604274393,0.9659108922186336,0.945009417171602,0.9846575017578892,descriptive_seed_level_only
random_seed_holdout,随机种子级 75/25 留出,msc_lr,316,299,0.9462025316455697,0.9155433184757537,0.9661435054894024,0.9208860759493671,0.9684335443037971,0.9479651162790698,0.9240401347459358,0.970879356086734,0.9474062451955647,0.9225281658081071,0.9700145164792678,descriptive_seed_level_only
random_seed_holdout,随机种子级 75/25 留出,sg_smooth_lr,316,274,0.8670886075949367,0.8252150205427091,0.900144352364795,0.8291139240506329,0.9050632911392406,0.8694040697674419,0.834635661674108,0.9050305930384358,0.8672675343162594,0.8296180633472522,0.9019680168135615,descriptive_seed_level_only
random_seed_holdout,随机种子级 75/25 留出,sg_first_derivative_lr,316,307,0.9715189873417721,0.9467665252265043,0.9849450830771,0.9525316455696202,0.9873417721518988,0.9727470930232558,0.9540230656925167,0.9888486291255631,0.972330463094335,0.9533211469553535,0.9880344107072628,descriptive_seed_level_only
suffix_1_to_2,采集立方体后缀 1→2,raw_lr,614,489,0.7964169381107492,0.7627700030605009,0.8263779001811908,0.7638436482084691,0.8273615635179153,0.8031828703703703,0.7750309043791933,0.830709546260508,0.7988594953810785,0.7673554189855998,0.8267472155029014,descriptive_seed_level_only
suffix_1_to_2,采集立方体后缀 1→2,raw_svm,614,440,0.7166123778501629,0.6797062248152118,0.7508249352460244,0.6824104234527687,0.752442996742671,0.7251157407407407,0.6942881212197635,0.758044218558423,0.7149883495635088,0.6813925616576818,0.7490162792088997,descriptive_seed_level_only
suffix_1_to_2,采集立方体后缀 1→2,raw_pls_da,614,524,0.8534201954397395,0.823247664625341,0.8791979123166762,0.8257328990228013,0.8794788273615635,0.8586226851851853,0.8364775114777246,0.8809474351854427,0.8459819035297912,0.8178267819426858,0.8716599330089904,descriptive_seed_level_only
suffix_1_to_2,采集立方体后缀 1→2,raw_rf,614,387,0.6302931596091205,0.5914108581626292,0.6675552531524,0.5928338762214984,0.6661237785016286,0.6385416666666667,0.6028715741742464,0.6746605629864006,0.6310046317237799,0.5949035878770522,0.6658271277379946,descriptive_seed_level_only
