run_id,direction,model,seed,sample_id,source_cube,true_label,condition,full_predicted_label,counterfactual_predicted_label,prediction_changed,full_true_class_probability,counterfactual_true_class_probability,true_class_probability_delta
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,0-2/1,0-2,0,mask_only,3,5,1,0.2507286888462054,0.10901086346112544,-0.14171782538508
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,0-2/1,0-2,0,mean_broadcast,3,0,1,0.2507286888462054,0.39197576607678225,0.14124707723057683
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,0-2/1,0-2,0,spatial_shuffle,3,0,1,0.2507286888462054,0.3848403531740499,0.1341116643278445
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,0-2/10,0-2,0,mask_only,5,5,0,0.07444787596772397,0.08289519742108648,0.008447321453362508
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,0-2/10,0-2,0,mean_broadcast,5,5,0,0.07444787596772397,0.08197009377384153,0.007522217806117559
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,0-2/10,0-2,0,spatial_shuffle,5,5,0,0.07444787596772397,0.07770261137281494,0.0032547354050909694
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,0-2/11,0-2,0,mask_only,0,5,1,0.22705996543060128,0.13725168772194857,-0.08980827770865271
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,0-2/11,0-2,0,mean_broadcast,0,0,0,0.22705996543060128,0.25322746781813543,0.026167502387534153
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,0-2/11,0-2,0,spatial_shuffle,0,0,0,0.22705996543060128,0.25142154219194424,0.024361576761342957
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,0-2/12,0-2,0,mask_only,0,5,1,0.2998766687706908,0.09984441738779933,-0.2000322513828915
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,0-2/12,0-2,0,mean_broadcast,0,0,0,0.2998766687706908,0.36096493933094154,0.061088270560250735
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,0-2/12,0-2,0,spatial_shuffle,0,0,0,0.2998766687706908,0.35294588512067215,0.05306921634998135
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,0-2/13,0-2,0,mask_only,0,7,1,0.3773737550425527,0.11782948451567178,-0.25954427052688095
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,0-2/13,0-2,0,mean_broadcast,0,0,0,0.3773737550425527,0.36400759659818505,-0.01336615844436767
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,0-2/13,0-2,0,spatial_shuffle,0,0,0,0.3773737550425527,0.37332991631769863,-0.0040438387248540875
suffix_1_to_2__fusion_net__probability_ensemble,suffix_1_to_2,fusion_net,probability_ensemble,0-2/14,0-2,0,mask_only,4,5,1,0.07086523962533386,0.06623468684166878,-0.004630552783665087
