sample_index,sample_id,label,class_name,source_cube,cube_suffix,seed_id,relative_mat_path,relative_csv_path,mat_sha256,csv_sha256
0,0-1/1,0,HBS,0-1,1,1,0-1/1.mat,0-1/1.csv,0b5457ed662f5683e47ce34808f13d56211a32bbb7c495010d34c979f4630001,e7b2110341039e692617534dd6a4ab3c9ebf7557f6e5a32eb6c39adb4be070fb
1,0-1/2,0,HBS,0-1,1,2,0-1/2.mat,0-1/2.csv,d339adedc6a8576177dd03b5725729316664b3ba9f99ad9f84666437d678cee8,f675fc1dc6cee6bd25222a32ca0efc7431d6bb30b19b36ee6fc5bef8703ba348
2,0-1/3,0,HBS,0-1,1,3,0-1/3.mat,0-1/3.csv,3d94ceb503b330313bb7b7e48242cd3d404c0e6402518d7b2c848e071505ccb9,c0b1a9141dcc92548835e87398c9b96285fb189223d6376a5f97df0d0a2b9d96
3,0-1/4,0,HBS,0-1,1,4,0-1/4.mat,0-1/4.csv,2cc7da61bcd0794aa2e079132accf675ef5cabe281e7432a07e1d7269f2c1773,2ea178ec7232cc27312265ddef19110220daa742a1752b404ebc3bcb9f6e6a31
4,0-1/5,0,HBS,0-1,1,5,0-1/5.mat,0-1/5.csv,be90dedfd5d6fbe0dbf12f36b7b182cb520a76e9dc53fffee4e681bdf457092a,2e99316d9cfc73b69e03567ab26972aa39d8be1bd3aeb1737dab78bc404ff7b2
5,0-1/6,0,HBS,0-1,1,6,0-1/6.mat,0-1/6.csv,4d25ccfc4da8b9a73ab86e877375bbef759905d3834a9214c10bbf7dc437857b,3d4b93342ef1d78b86e35495ec7a277aec4399e6825be1ca7e5ba93a6a5809d9
6,0-1/7,0,HBS,0-1,1,7,0-1/7.mat,0-1/7.csv,9da9cb4a42142874ba829b6c9127fa02e52a109f66a1139242c482d260a70c22,6e904768d4809d8dd2c6b3b4e4e2959553666579fd8b5d314d3e87abd9bd4465
7,0-1/8,0,HBS,0-1,1,8,0-1/8.mat,0-1/8.csv,2241e445b4e94d35564d3108c45bc3e7ecd82a97e1099c3037c06423c3521ff3,8ca8754d46451c3cc20f95f3b1720a1d0442c0893103d525620468384a6d6688
8,0-1/9,0,HBS,0-1,1,9,0-1/9.mat,0-1/9.csv,3664090747181787c091fa8fbce6bc103d7e3616de5fa4bb73876790597602d8,e28d03fe2f3cd860c70366548eb5967077919adffa425e7c21fc9279c1f7c261
9,0-1/10,0,HBS,0-1,1,10,0-1/10.mat,0-1/10.csv,1de86fa76257523466656a8dc406a4299b9c76b8ce4468176a35a4efc60ab73f,63ac8e610f72820f74f97c615cc63360408a05922a255f5c11595ad6670ea628
10,0-1/11,0,HBS,0-1,1,11,0-1/11.mat,0-1/11.csv,6a353f2aca4d24515e16ca2071e76cc1c5924ba19e45b916f301f1d033ff0302,8575bcea202a1981588eea0d6dd649a6294cf11e35515711d9d9fa26c6e333d4
11,0-1/12,0,HBS,0-1,1,12,0-1/12.mat,0-1/12.csv,c9f140cf7df0a5e2a2bbb88d2ae1ac42acc800657e5b575d8f4a4abf6034a9db,be175a548977cf25bbe7882d6961d4c634d5a0ea4fb8bdbfc6a1fe1f14f7784c
12,0-1/13,0,HBS,0-1,1,13,0-1/13.mat,0-1/13.csv,f863ecb772e29be65228ec6f1b1551a06c8127fb08c1d64b724a74053ad7215e,127bb472d9132ceca57c20b67ca59b5f90758c88968e988b0bee56560f1f4d46
13,0-1/14,0,HBS,0-1,1,14,0-1/14.mat,0-1/14.csv,0bcbf6f6df95f3e5fe0d68b3bc1db9f7b4d0cf9adb131ee8b02e856767b20e0d,b951562cf81fd7e35a9f5eac78b06a1e9509f3c4d571b8a045c0f9af6a990750
14,0-1/15,0,HBS,0-1,1,15,0-1/15.mat,0-1/15.csv,522f5ab5a655691de6e8fdaefb049858011845397b53d88b6e3f2390dba45bf7,dd6074320baf632c7d76b76c0c80776c2b2637da599c85ba94e24e4876925875
15,0-1/16,0,HBS,0-1,1,16,0-1/16.mat,0-1/16.csv,33907241d5d78ba43917d7ba51bed7786b71d80ff63d0c155e56006f62854e98,44c568f67188a72d563eeac3a8e3f9485478520ccc3793202ec75ee9ef1a2253
16,0-1/17,0,HBS,0-1,1,17,0-1/17.mat,0-1/17.csv,823baf71f8c75c41f9456de19a471d0a1c926049401b6103c35e2ccbeaa335d1,d320e00385fe13d78c60f4b78524a5ceb44a0fb6e1d0ca8ef8fac313eae5b4dc
17,0-1/18,0,HBS,0-1,1,18,0-1/18.mat,0-1/18.csv,50d5b90a18624f67acadd789352250cc77f1a0ca0e843d20075240c3c88ce947,f1854c4b5bcc32b8295e94b000bca7bf60496ed9644a1240ea4ab5359e358496
18,0-1/19,0,HBS,0-1,1,19,0-1/19.mat,0-1/19.csv,b6af1f681979cf5488dd9c272ca67b76125e5579fef06e7eaa8d506ca81d8a4f,c4961b8c627bcfa3cd8c4339c7fe9124557b560f889c618a83f7d0c5db60784b
19,0-1/20,0,HBS,0-1,1,20,0-1/20.mat,0-1/20.csv,8b5b356634d4ca09667e9bf52f263561e57c359d4bb7c6b037efc4f68a671473,5d963927cc470d898ba65a9682764fb6bc2bd7dbdbcbd2b3e7410bce3d208a4c
20,0-1/21,0,HBS,0-1,1,21,0-1/21.mat,0-1/21.csv,437bae941d68017caca17b4447d6651bb7045ec378d09b215b9732bbcc773795,02c60fc5473e244572e4093490d202fd9145c191a72874d7aa01d20fc0f65726
21,0-1/22,0,HBS,0-1,1,22,0-1/22.mat,0-1/22.csv,dcddd323a2fde8f629396f88c306757afff878f9f7370b85cbc50d4e640999e2,9bbc5d1917e73119b07366e86b4a762a276b316f321dad065e712c3c799b68d3
22,0-1/23,0,HBS,0-1,1,23,0-1/23.mat,0-1/23.csv,4ace13aab041e8767c4a8a1a62b97808d6ecf1ad0ced916c747975363ed7a00e,e8ea5487b5ce75100fe76d07db73f0226973500553abbb91232e49fed7967cc1
23,0-1/24,0,HBS,0-1,1,24,0-1/24.mat,0-1/24.csv,c6b15882e283e571c9f9481b2baa9618dd1f56e7dde54a9dae890f8be2e9e9ec,3fc085510769adf000cdbd1a4c7e7ee26b8ca278896c4aeccc620e81a02524d0
24,0-1/25,0,HBS,0-1,1,25,0-1/25.mat,0-1/25.csv,75fb501080482f45cbbaae5f4c1e80bab5a1d0d3d0b40f3516f6d3147387afd6,e70d516e2c36d6be2eb5bd3f319bb4a2c5061b5610b4a2bf7326b516b1c9a2b6
25,0-1/26,0,HBS,0-1,1,26,0-1/26.mat,0-1/26.csv,94a759fddd2f13b5dd5d510b3efac9ada003f83f57ebacf3ad8d875133936352,39d4a114cacbcd2919372e51482ca07136862c8c40c574b613f6840984da02bc
26,0-1/27,0,HBS,0-1,1,27,0-1/27.mat,0-1/27.csv,7b9956a425e54752a3b41c8d1d547c33be142a616e4a24976d1fc4a55d9d0c8f,c5c1e588c31e423b1f85fc1e24767f1dc671cf5ad50ff720bacb4c687757d486
27,0-1/28,0,HBS,0-1,1,28,0-1/28.mat,0-1/28.csv,9400ac398d2c46bfe9d53f71529e0654eaf8fb24e3c8d33571a632115329a263,c8d7f634279c55e9a65786431839bd82219192c2b7d68aea1fbe719d9ea2e6dc
28,0-1/29,0,HBS,0-1,1,29,0-1/29.mat,0-1/29.csv,b0703ab852c30b28fef721b14b1369e45b4d9523064029de6040d5c7d845c952,c79822108aee7b85929c62852cf07b725adfde939d3d3564c45280ff8c68f116
29,0-1/30,0,HBS,0-1,1,30,0-1/30.mat,0-1/30.csv,f324561af5074fca165bd393b5e95ad5412f8878feb3cbdee05f223aa7bc3648,2ac0086943b303cd79a784d1aef47e503aa3d64a064c38907660ffc858644e84
30,0-1/31,0,HBS,0-1,1,31,0-1/31.mat,0-1/31.csv,002c9b91556905ca4390e3845c76c97f441f229a12800833e3b052fd9aea1cc1,ed8c11b49a9eadd96e2afed406d83aa088373a0afb7b0155c1112a6d09e49bb2
31,0-1/32,0,HBS,0-1,1,32,0-1/32.mat,0-1/32.csv,5575fb5b6f8c5962283a85a1922e495fd2fda0f1d4dc8f74b89f21313001ec8f,e11a8ef7fcc8f3623bfa93d7b8353c7cc9f1e728d1b1904023dc5bdb2b11e79e
32,0-1/33,0,HBS,0-1,1,33,0-1/33.mat,0-1/33.csv,af298db046d3085a402c46c68fa7307b3b4aa4909961c24572a8ca4dbb07f2fa,a780fcde6a326de28692f9b160aefe00587f70bcae8edb616be31f571fa4e74d
33,0-1/34,0,HBS,0-1,1,34,0-1/34.mat,0-1/34.csv,d5c6909ec56738a18b88e5d8c6d8325f5362e974d72b493ef8537f187e0dff35,a98be76e13d9d221c684830f937721f05eb4623c75521654e332ca4c8e4949d1
34,0-1/35,0,HBS,0-1,1,35,0-1/35.mat,0-1/35.csv,ad6f5d4d281e87a56745442b94c9cf76c49b726ad9102a7c02caa64ba7879055,ac147468729e8003ddb1beabbe78b0d7fa17c57254392dc2813e83bb17430912
35,0-1/36,0,HBS,0-1,1,36,0-1/36.mat,0-1/36.csv,123e4fb20642f15d4e2b1928f3e27794cba1e3d356f82a79bd782740ed0a5cac,cb35001591d1c13412b71008d50670f54ddfc98006917c10bb6c1eb7f3bb4837
36,0-1/37,0,HBS,0-1,1,37,0-1/37.mat,0-1/37.csv,96ab2ebdaf4257a81303278e2060f3599bf001e0b9482d0b82d7ebbdc2b8fead,1ee95a3d738f7a61017a86fbd2425f8a67a380c2807879a88dd1f655c6c0ffe6
