run_id,direction,train_suffix,test_suffix,model,seed,condition,n_train,n_validation,training_seconds,evaluation_seconds,parameter_count,calibration,n,n_correct,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,nll,brier,ece_10
suffix_1_to_2__snv_lr__seed_42,suffix_1_to_2,1,2,snv_lr,42,full,520,130,0.6792023000016343,0.26350810000440106,3144,raw,614,517,0.8420195439739414,0.8476851851851852,0.8702382378502358,0.8476851851851852,0.8366197872213655,0.7787079508345081,0.2598665885374122,0.10093545474136481
suffix_1_to_2__snv_lr__seed_42,suffix_1_to_2,1,2,snv_lr,42,full,520,130,0.6792023000016343,0.26350810000440106,3144,temperature_scaled,614,517,0.8420195439739414,0.8476851851851852,0.8702382378502358,0.8476851851851852,0.8366197872213655,0.612696588755041,0.2424701984812002,0.03343284931872112
suffix_1_to_2__snv_lr__seed_42,suffix_1_to_2,1,2,snv_lr,42,spatial_shuffle,520,130,0.6792023000016343,0.2631057999969926,3144,raw,614,517,0.8420195439739414,0.8476851851851852,0.8702382378502358,0.8476851851851852,0.8366197872213655,0.7787079508345081,0.2598665885374122,0.10093545474136481
suffix_1_to_2__snv_lr__seed_42,suffix_1_to_2,1,2,snv_lr,42,spatial_shuffle,520,130,0.6792023000016343,0.2631057999969926,3144,temperature_scaled,614,517,0.8420195439739414,0.8476851851851852,0.8702382378502358,0.8476851851851852,0.8366197872213655,0.612696588755041,0.2424701984812002,0.03343284931872112
suffix_1_to_2__snv_lr__seed_42,suffix_1_to_2,1,2,snv_lr,42,mask_only,520,130,0.6792023000016343,0.2623182999959681,3144,raw,614,54,0.08794788273615635,0.125,0.010993485342019544,0.125,0.020209580838323353,25.200931310944604,1.8241042345276872,0.9120521172638436
suffix_1_to_2__snv_lr__seed_42,suffix_1_to_2,1,2,snv_lr,42,mask_only,520,130,0.6792023000016343,0.2623182999959681,3144,temperature_scaled,614,54,0.08794788273615635,0.125,0.010993485342019544,0.125,0.020209580838323353,25.200931310944604,1.8241042345276872,0.9120521172638436
suffix_1_to_2__snv_lr__seed_42,suffix_1_to_2,1,2,snv_lr,42,mean_broadcast,520,130,0.6792023000016343,0.250597000005655,3144,raw,614,517,0.8420195439739414,0.8476851851851852,0.8702382378502358,0.8476851851851852,0.8366197872213655,0.7787079508345081,0.2598665885374122,0.10093545474136481
suffix_1_to_2__snv_lr__seed_42,suffix_1_to_2,1,2,snv_lr,42,mean_broadcast,520,130,0.6792023000016343,0.250597000005655,3144,temperature_scaled,614,517,0.8420195439739414,0.8476851851851852,0.8702382378502358,0.8476851851851852,0.8366197872213655,0.612696588755041,0.2424701984812002,0.03343284931872112
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,1,2,spectral_only,42,full,520,130,18.793294700000843,7.950406100004329,79624,raw,614,80,0.13029315960912052,0.125,0.016286644951140065,0.125,0.02881844380403458,2.077785029378267,0.8745935161988653,0.0013881517827156742
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,1,2,spectral_only,42,full,520,130,18.793294700000843,7.950406100004329,79624,temperature_scaled,614,80,0.13029315960912052,0.125,0.016286644951140065,0.125,0.02881844380403458,2.077671505539179,0.874566726348752,0.002047532554026482
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,1,2,spectral_only,42,spatial_shuffle,520,130,18.793294700000843,8.239060300002166,79624,raw,614,80,0.13029315960912052,0.125,0.016286644951140065,0.125,0.02881844380403458,2.077785029378267,0.8745935161988653,0.0013881517827156742
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,1,2,spectral_only,42,spatial_shuffle,520,130,18.793294700000843,8.239060300002166,79624,temperature_scaled,614,80,0.13029315960912052,0.125,0.016286644951140065,0.125,0.02881844380403458,2.077671505539179,0.874566726348752,0.002047532554026482
suffix_1_to_2__spectral_only__seed_42,suffix_1_to_2,1,2,spectral_only,42,mask_only,520,130,18.793294700000843,8.157561500003794,79624,raw,614,80,0.13029315960912052,0.125,0.016286644951140065,0.125,0.02881844380403458,2.077605836278989,0.8745506393412106,0.0010926198565656131
