effect_id,effect_label,role,calibration,suffix_1_to_2_effect,suffix_2_to_1_effect,observed_two_direction_effect,bootstrap_mean,conditional_ci_low,conditional_ci_high,confidence_level,interval_method,bootstrap_repetitions,bootstrap_seed,resampling_unit,scope
primary_fusion_full_minus_spatial_shuffle,fusion_net(full) - fusion_net(spatial_shuffle),primary,raw,0.009375000000000022,0.2404513888888889,0.12491319444444444,0.12498574652777775,-0.0018229166666666465,0.24991319444444443,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 paired commercial labels,conditional_on_the_16_archived_source_cubes
fusion_spatial_shuffle_minus_mean_broadcast,fusion_net(spatial_shuffle) - fusion_net(mean_broadcast),secondary,raw,0.0,0.002256944444444464,0.0011284722222222356,0.0011233420138889024,-0.006249999999999981,0.010416666666666678,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 paired commercial labels,conditional_on_the_16_archived_source_cubes
fusion_full_minus_mean_broadcast,fusion_net(full) - fusion_net(mean_broadcast),secondary,raw,0.009375000000000022,0.24270833333333336,0.1260416666666667,0.12610908854166666,0.003125000000000013,0.24713541666666664,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 paired commercial labels,conditional_on_the_16_archived_source_cubes
fusion_mean_broadcast_minus_mask_only,fusion_net(mean_broadcast) - fusion_net(mask_only),secondary,raw,0.17974537037037036,0.021006944444444425,0.10037615740740742,0.10051784722222223,0.012152777777777813,0.20818938078703703,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 paired commercial labels,conditional_on_the_16_archived_source_cubes
fusion_full_minus_spectral_only_full,fusion_net(full) - spectral_only(full),secondary,raw,-0.1049768518518519,0.10399305555555555,-0.000491898148148151,-0.0010773524305555601,-0.1345775462962963,0.14516782407407405,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 paired commercial labels,conditional_on_the_16_archived_source_cubes
fusion_full_minus_snv_lr_full,fusion_net(full) - snv_lr(full),descriptive_baseline,raw,-0.42945601851851856,-0.41979166666666673,-0.4246238425925926,-0.42493062499999995,-0.5326996527777778,-0.32084852430555577,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 paired commercial labels,conditional_on_the_16_archived_source_cubes
fusion_mask_only_minus_chance,fusion_net(mask_only) - chance (0.125),secondary,raw,0.10567129629629629,0.0796875,0.09267939814814814,0.09225369791666664,-0.05,0.25461299189814796,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 paired commercial labels,conditional_on_the_16_archived_source_cubes
primary_fusion_full_minus_spatial_shuffle,fusion_net(full) - fusion_net(spatial_shuffle),primary,temperature_scaled,0.007812500000000056,0.25520833333333337,0.13151041666666666,0.13160682291666664,0.018229166666666647,0.24375,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 paired commercial labels,conditional_on_the_16_archived_source_cubes
fusion_spatial_shuffle_minus_mean_broadcast,fusion_net(spatial_shuffle) - fusion_net(mean_broadcast),secondary,temperature_scaled,0.004687500000000011,0.0008680555555555802,0.00277777777777778,0.0027890798611111137,-0.005034722222222197,0.009895833333333319,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 paired commercial labels,conditional_on_the_16_archived_source_cubes
fusion_full_minus_mean_broadcast,fusion_net(full) - fusion_net(mean_broadcast),secondary,temperature_scaled,0.012500000000000067,0.25607638888888895,0.13428819444444443,0.13439590277777777,0.017100694444444446,0.24756944444444443,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 paired commercial labels,conditional_on_the_16_archived_source_cubes
fusion_mean_broadcast_minus_mask_only,fusion_net(mean_broadcast) - fusion_net(mask_only),secondary,temperature_scaled,0.21099537037037036,0.028819444444444425,0.11990740740740741,0.11997761284722223,0.041001157407407424,0.21956018518518516,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 paired commercial labels,conditional_on_the_16_archived_source_cubes
fusion_full_minus_spectral_only_full,fusion_net(full) - spectral_only(full),secondary,temperature_scaled,-0.09085648148148151,0.11458333333333331,0.01186342592592593,0.011265911458333338,-0.11287615740740739,0.15549768518518517,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 paired commercial labels,conditional_on_the_16_archived_source_cubes
fusion_full_minus_snv_lr_full,fusion_net(full) - snv_lr(full),descriptive_baseline,temperature_scaled,-0.4091435185185185,-0.41093749999999996,-0.4100405092592593,-0.41035440104166665,-0.5085937500000001,-0.31461226851851853,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 paired commercial labels,conditional_on_the_16_archived_source_cubes
fusion_mask_only_minus_chance,fusion_net(mask_only) - chance (0.125),secondary,temperature_scaled,0.09004629629629629,0.0703125,0.08017939814814816,0.07977940104166667,-0.05703125,0.23537109374999982,0.95,paired_label_block_bootstrap_percentile,10000,20260721,8 paired commercial labels,conditional_on_the_16_archived_source_cubes
