bootstrap_replicate,label_pair_position_1,label_pair_position_2,label_pair_position_3,label_pair_position_4,label_pair_position_5,label_pair_position_6,label_pair_position_7,label_pair_position_8
1,1,5,6,2,4,3,2,4
2,3,3,1,4,4,7,0,5
3,3,0,1,4,4,6,6,1
4,6,6,1,4,3,7,5,7
5,7,1,2,3,4,5,5,0
6,0,2,4,2,6,3,6,0
7,1,2,1,0,4,0,1,2
8,5,1,3,5,5,6,4,5
9,1,7,6,3,0,2,4,0
10,6,5,7,1,2,0,3,5
11,0,7,4,4,7,3,0,7
12,3,3,6,4,7,3,2,3
13,3,7,6,3,3,4,5,2
14,1,7,3,2,5,5,4,5
15,7,5,0,4,6,3,7,1
16,3,1,5,5,4,5,3,4
17,3,2,2,1,4,1,2,7
18,0,3,3,6,4,3,2,7
19,6,1,1,7,0,1,6,4
20,5,2,6,2,2,3,3,0
21,1,1,6,6,0,0,2,5
22,3,5,6,6,0,7,4,2
23,6,5,7,6,3,2,6,4
24,1,7,3,7,5,4,7,4
25,3,2,5,4,4,0,6,5
26,3,7,6,7,3,5,1,1
27,0,1,2,1,6,3,4,4
28,3,0,2,3,7,7,7,3
29,5,2,1,2,4,4,4,3
30,3,2,7,3,3,7,0,4
31,5,0,0,5,2,7,3,3
32,6,1,3,4,3,7,7,5
33,1,6,6,0,0,5,0,5
34,0,5,2,2,7,4,0,5
35,7,6,5,4,3,0,5,0
36,0,5,3,5,0,2,1,5
37,3,2,4,4,7,4,3,0
38,5,1,5,3,1,7,1,7
39,3,3,4,5,5,1,1,7
40,6,4,5,4,2,2,4,2
41,5,0,2,3,4,2,6,6
42,6,5,6,3,7,4,2,7
43,5,5,3,6,3,3,0,1
44,7,3,5,1,6,6,6,7
45,5,1,6,4,0,3,1,3
46,5,3,4,6,7,5,3,5
47,5,0,7,3,4,2,7,0
48,7,2,5,5,1,3,6,2
49,4,0,6,5,5,0,2,2
50,2,0,7,3,2,0,1,0
51,4,0,4,1,5,4,0,2
