predictor,direction,model,condition,calibration,bin_index,lower_exclusive,upper_inclusive,n,fraction,mean_confidence,accuracy,absolute_gap
seed_2024,suffix_1_to_2,fusion_net,full,raw,1,0.0,0.1,0,0.0,,,
seed_2024,suffix_1_to_2,fusion_net,full,raw,2,0.1,0.2,142,0.23127035830618892,0.1740774055241269,0.2323943661971831,0.058316960673056195
seed_2024,suffix_1_to_2,fusion_net,full,raw,3,0.2,0.3,270,0.43973941368078173,0.23787644362455104,0.2074074074074074,0.03046903621714364
seed_2024,suffix_1_to_2,fusion_net,full,raw,4,0.3,0.4,103,0.16775244299674266,0.3470327607113254,0.3786407766990291,0.03160801598770374
seed_2024,suffix_1_to_2,fusion_net,full,raw,5,0.4,0.5,58,0.09446254071661238,0.4407089883301296,0.4482758620689655,0.007566873738835911
seed_2024,suffix_1_to_2,fusion_net,full,raw,6,0.5,0.6,18,0.029315960912052116,0.5532313245707176,0.5,0.05323132457071755
seed_2024,suffix_1_to_2,fusion_net,full,raw,7,0.6,0.7,14,0.02280130293159609,0.6401416267820377,0.7142857142857143,0.07414408750367663
seed_2024,suffix_1_to_2,fusion_net,full,raw,8,0.7,0.8,9,0.014657980456026058,0.7238595638390278,0.7777777777777778,0.05391821393874996
seed_2024,suffix_1_to_2,fusion_net,full,raw,9,0.8,0.9,0,0.0,,,
seed_2024,suffix_1_to_2,fusion_net,full,raw,10,0.9,1.0,0,0.0,,,
seed_2024,suffix_1_to_2,fusion_net,full,temperature_scaled,1,0.0,0.1,0,0.0,,,
seed_2024,suffix_1_to_2,fusion_net,full,temperature_scaled,2,0.1,0.2,141,0.2296416938110749,0.17434228746617286,0.23404255319148937,0.059700265725316504
seed_2024,suffix_1_to_2,fusion_net,full,temperature_scaled,3,0.2,0.3,270,0.43973941368078173,0.2385638613893173,0.2074074074074074,0.031156453981909887
seed_2024,suffix_1_to_2,fusion_net,full,temperature_scaled,4,0.3,0.4,102,0.16612377850162866,0.3476990314408558,0.3627450980392157,0.015046066598359886
seed_2024,suffix_1_to_2,fusion_net,full,temperature_scaled,5,0.4,0.5,58,0.09446254071661238,0.4402510621173194,0.4482758620689655,0.008024799951646122
seed_2024,suffix_1_to_2,fusion_net,full,temperature_scaled,6,0.5,0.6,20,0.03257328990228013,0.552168921340966,0.55,0.0021689213409659125
seed_2024,suffix_1_to_2,fusion_net,full,temperature_scaled,7,0.6,0.7,14,0.02280130293159609,0.6451275929665433,0.7142857142857143,0.06915812131917098
seed_2024,suffix_1_to_2,fusion_net,full,temperature_scaled,8,0.7,0.8,9,0.014657980456026058,0.7288707099504496,0.7777777777777778,0.04890706782732823
seed_2024,suffix_1_to_2,fusion_net,full,temperature_scaled,9,0.8,0.9,0,0.0,,,
seed_2024,suffix_1_to_2,fusion_net,full,temperature_scaled,10,0.9,1.0,0,0.0,,,
seed_2024,suffix_1_to_2,fusion_net,mask_only,raw,1,0.0,0.1,0,0.0,,,
