direction,seed,role,sample_id,source_cube,label
suffix_1_to_2,42,development_train,0-1/1,0-1,0
suffix_1_to_2,42,development_train,0-1/2,0-1,0
suffix_1_to_2,42,development_train,0-1/3,0-1,0
suffix_1_to_2,42,development_train,0-1/4,0-1,0
suffix_1_to_2,42,development_train,0-1/5,0-1,0
suffix_1_to_2,42,development_train,0-1/6,0-1,0
suffix_1_to_2,42,development_train,0-1/7,0-1,0
suffix_1_to_2,42,development_train,0-1/8,0-1,0
suffix_1_to_2,42,development_train,0-1/9,0-1,0
suffix_1_to_2,42,development_train,0-1/10,0-1,0
suffix_1_to_2,42,development_train,0-1/13,0-1,0
suffix_1_to_2,42,development_train,0-1/14,0-1,0
suffix_1_to_2,42,development_train,0-1/15,0-1,0
suffix_1_to_2,42,development_train,0-1/16,0-1,0
suffix_1_to_2,42,development_train,0-1/18,0-1,0
suffix_1_to_2,42,development_train,0-1/19,0-1,0
suffix_1_to_2,42,development_train,0-1/20,0-1,0
suffix_1_to_2,42,development_train,0-1/21,0-1,0
suffix_1_to_2,42,development_train,0-1/22,0-1,0
suffix_1_to_2,42,development_train,0-1/24,0-1,0
suffix_1_to_2,42,development_train,0-1/26,0-1,0
suffix_1_to_2,42,development_train,0-1/27,0-1,0
suffix_1_to_2,42,development_train,0-1/28,0-1,0
suffix_1_to_2,42,development_train,0-1/29,0-1,0
suffix_1_to_2,42,development_train,0-1/30,0-1,0
suffix_1_to_2,42,development_train,0-1/33,0-1,0
suffix_1_to_2,42,development_train,0-1/34,0-1,0
suffix_1_to_2,42,development_train,0-1/35,0-1,0
suffix_1_to_2,42,development_train,0-1/36,0-1,0
suffix_1_to_2,42,development_train,0-1/38,0-1,0
suffix_1_to_2,42,development_train,0-1/39,0-1,0
suffix_1_to_2,42,development_train,0-1/40,0-1,0
suffix_1_to_2,42,development_train,0-1/42,0-1,0
suffix_1_to_2,42,development_train,0-1/43,0-1,0
suffix_1_to_2,42,development_train,0-1/44,0-1,0
suffix_1_to_2,42,development_train,0-1/45,0-1,0
suffix_1_to_2,42,development_train,0-1/47,0-1,0
suffix_1_to_2,42,development_train,0-1/48,0-1,0
suffix_1_to_2,42,development_train,0-1/49,0-1,0
suffix_1_to_2,42,development_train,0-1/50,0-1,0
suffix_1_to_2,42,development_train,0-1/51,0-1,0
suffix_1_to_2,42,development_train,0-1/52,0-1,0
suffix_1_to_2,42,development_train,0-1/53,0-1,0
suffix_1_to_2,42,development_train,0-1/54,0-1,0
suffix_1_to_2,42,development_train,0-1/55,0-1,0
suffix_1_to_2,42,development_train,0-1/56,0-1,0
suffix_1_to_2,42,development_train,0-1/57,0-1,0
suffix_1_to_2,42,development_train,0-1/59,0-1,0
suffix_1_to_2,42,development_train,0-1/60,0-1,0
suffix_1_to_2,42,development_train,0-1/62,0-1,0
suffix_1_to_2,42,development_train,0-1/65,0-1,0
suffix_1_to_2,42,development_train,0-1/66,0-1,0
suffix_1_to_2,42,development_train,0-1/67,0-1,0
suffix_1_to_2,42,development_train,0-1/68,0-1,0
suffix_1_to_2,42,development_train,0-1/69,0-1,0
suffix_1_to_2,42,development_train,0-1/70,0-1,0
suffix_1_to_2,42,development_train,0-1/72,0-1,0
suffix_1_to_2,42,development_train,0-1/73,0-1,0
suffix_1_to_2,42,development_train,0-1/75,0-1,0
suffix_1_to_2,42,development_train,0-1/76,0-1,0
suffix_1_to_2,42,development_train,0-1/77,0-1,0
suffix_1_to_2,42,development_train,0-1/78,0-1,0
suffix_1_to_2,42,development_train,0-1/79,0-1,0
suffix_1_to_2,42,development_train,0-1/80,0-1,0
suffix_1_to_2,42,development_train,1-1/1,1-1,1
suffix_1_to_2,42,development_train,1-1/2,1-1,1
suffix_1_to_2,42,development_train,1-1/3,1-1,1
suffix_1_to_2,42,development_train,1-1/4,1-1,1
suffix_1_to_2,42,development_train,1-1/5,1-1,1
suffix_1_to_2,42,development_train,1-1/6,1-1,1
suffix_1_to_2,42,development_train,1-1/8,1-1,1
suffix_1_to_2,42,development_train,1-1/10,1-1,1
suffix_1_to_2,42,development_train,1-1/11,1-1,1
suffix_1_to_2,42,development_train,1-1/12,1-1,1
suffix_1_to_2,42,development_train,1-1/13,1-1,1
suffix_1_to_2,42,development_train,1-1/14,1-1,1
suffix_1_to_2,42,development_train,1-1/15,1-1,1
suffix_1_to_2,42,development_train,1-1/17,1-1,1
suffix_1_to_2,42,development_train,1-1/18,1-1,1
suffix_1_to_2,42,development_train,1-1/19,1-1,1
suffix_1_to_2,42,development_train,1-1/20,1-1,1
suffix_1_to_2,42,development_train,1-1/21,1-1,1
suffix_1_to_2,42,development_train,1-1/22,1-1,1
suffix_1_to_2,42,development_train,1-1/23,1-1,1
suffix_1_to_2,42,development_train,1-1/24,1-1,1
suffix_1_to_2,42,development_train,1-1/25,1-1,1
suffix_1_to_2,42,development_train,1-1/26,1-1,1
suffix_1_to_2,42,development_train,1-1/27,1-1,1
suffix_1_to_2,42,development_train,1-1/28,1-1,1
suffix_1_to_2,42,development_train,1-1/31,1-1,1
suffix_1_to_2,42,development_train,1-1/32,1-1,1
suffix_1_to_2,42,development_train,1-1/33,1-1,1
suffix_1_to_2,42,development_train,1-1/36,1-1,1
suffix_1_to_2,42,development_train,1-1/38,1-1,1
suffix_1_to_2,42,development_train,1-1/40,1-1,1
suffix_1_to_2,42,development_train,1-1/41,1-1,1
suffix_1_to_2,42,development_train,1-1/42,1-1,1
suffix_1_to_2,42,development_train,1-1/43,1-1,1
suffix_1_to_2,42,development_train,1-1/44,1-1,1
suffix_1_to_2,42,development_train,1-1/45,1-1,1
suffix_1_to_2,42,development_train,1-1/46,1-1,1
suffix_1_to_2,42,development_train,1-1/48,1-1,1
suffix_1_to_2,42,development_train,1-1/49,1-1,1
suffix_1_to_2,42,development_train,1-1/50,1-1,1
suffix_1_to_2,42,development_train,1-1/51,1-1,1
suffix_1_to_2,42,development_train,1-1/52,1-1,1
suffix_1_to_2,42,development_train,1-1/53,1-1,1
suffix_1_to_2,42,development_train,1-1/54,1-1,1
suffix_1_to_2,42,development_train,1-1/55,1-1,1
suffix_1_to_2,42,development_train,1-1/57,1-1,1
suffix_1_to_2,42,development_train,1-1/58,1-1,1
suffix_1_to_2,42,development_train,1-1/59,1-1,1
suffix_1_to_2,42,development_train,1-1/60,1-1,1
suffix_1_to_2,42,development_train,1-1/63,1-1,1
suffix_1_to_2,42,development_train,1-1/64,1-1,1
suffix_1_to_2,42,development_train,1-1/65,1-1,1
suffix_1_to_2,42,development_train,1-1/66,1-1,1
suffix_1_to_2,42,development_train,1-1/67,1-1,1
