sample_index,sample_id,source_cube,label,max_absolute_difference,mean_absolute_difference,rmse,absolute_tolerance,within_tolerance
0,0-1/1,0-1,0,1.3951286415014863e-07,2.8787173954835304e-08,3.7689815444742735e-08,1e-05,1
1,0-1/2,0-1,0,1.3737645898626027e-07,3.233332230457309e-08,4.253238914876771e-08,1e-05,1
2,0-1/3,0-1,0,1.561204228117674e-07,3.456094306320443e-08,4.425579523967042e-08,1e-05,1
3,0-1/4,0-1,0,1.8157909797977823e-07,3.282979022336133e-08,4.272425339680093e-08,1e-05,1
4,0-1/5,0-1,0,1.4544453907916477e-07,3.143630148753708e-08,4.1045667817099384e-08,1e-05,1
5,0-1/6,0-1,0,1.47400675221121e-07,3.161844180708721e-08,4.05898877472279e-08,1e-05,1
6,0-1/7,0-1,0,1.439933513536218e-07,3.257427904524446e-08,4.229383498956792e-08,1e-05,1
7,0-1/8,0-1,0,1.1158992541115964e-07,3.106512221965975e-08,4.0048006755147195e-08,1e-05,1
8,0-1/9,0-1,0,1.367917804584451e-07,3.51179983452087e-08,4.4341491553880735e-08,1e-05,1
9,0-1/10,0-1,0,1.302092886845685e-07,2.9315819112671394e-08,3.7953660983239016e-08,1e-05,1
10,0-1/11,0-1,0,1.8431251769257528e-07,3.35685715144647e-08,4.296388309249849e-08,1e-05,1
11,0-1/12,0-1,0,1.7900315540941847e-07,3.206923453591302e-08,4.2247461982056364e-08,1e-05,1
12,0-1/13,0-1,0,1.5064461555969189e-07,3.216590819606154e-08,4.158144007134321e-08,1e-05,1
13,0-1/14,0-1,0,1.365138634357166e-07,2.9900420883716705e-08,3.878904036965024e-08,1e-05,1
14,0-1/15,0-1,0,1.1190624527035453e-07,3.268426609773166e-08,4.016128113040414e-08,1e-05,1
15,0-1/16,0-1,0,1.62394541924904e-07,2.8739101268555746e-08,3.819195124949497e-08,1e-05,1
16,0-1/17,0-1,0,1.2469591004204972e-07,3.0514870455297035e-08,3.8877119484654266e-08,1e-05,1
17,0-1/18,0-1,0,1.4324342090255016e-07,2.72470099290418e-08,3.520771557073634e-08,1e-05,1
18,0-1/19,0-1,0,1.11015658776914e-07,3.2282912021057574e-08,4.0532066026789875e-08,1e-05,1
19,0-1/20,0-1,0,1.377932474788679e-07,3.1371846995906514e-08,4.191600923273395e-08,1e-05,1
20,0-1/21,0-1,0,1.285320677668622e-07,3.301501976297602e-08,4.0611007599008873e-08,1e-05,1
21,0-1/22,0-1,0,1.502387663165905e-07,3.2952104536517686e-08,4.304666281508669e-08,1e-05,1
22,0-1/23,0-1,0,1.1820873202506021e-07,3.4634187808932175e-08,4.375402230775092e-08,1e-05,1
23,0-1/24,0-1,0,1.0890265278451494e-07,2.2596134788249167e-08,2.936611139980346e-08,1e-05,1
24,0-1/25,0-1,0,1.2635291712914665e-07,3.1098898794592416e-08,4.016558208017176e-08,1e-05,1
25,0-1/26,0-1,0,1.4364925671195294e-07,3.081802366106679e-08,4.0932689416383884e-08,1e-05,1
26,0-1/27,0-1,0,1.8431436299426451e-07,3.073083860611461e-08,4.052710142816001e-08,1e-05,1
