model,evaluation_scope,held_out_batch,n,accuracy,balanced_accuracy,macro_f1,negative_log_likelihood,multiclass_brier_score,expected_calibration_error,errors
snv_logistic_regression,development_leave_one_constructed_batch_out,0,127,0.952755905511811,0.953125,0.953533219229479,0.17408759201390975,0.08403479696945204,0.04942581213309732,6
snv_logistic_regression,development_leave_one_constructed_batch_out,1,127,0.968503937007874,0.9676339285714286,0.9682925304367429,0.4747903001877745,0.08425719385095885,0.06470436484449565,4
snv_logistic_regression,development_leave_one_constructed_batch_out,2,127,0.9212598425196851,0.9227941176470589,0.9222013925653182,0.3929151418054199,0.10681677304066343,0.029956128541735,10
snv_logistic_regression,development_leave_one_constructed_batch_out,3,127,0.952755905511811,0.953125,0.9532864648792068,0.20343329671923588,0.08513204271121672,0.050230105181720414,6
snv_logistic_regression,development_leave_one_constructed_batch_out,4,126,0.9682539682539683,0.96875,0.9690895853698274,0.12723425166070443,0.06227672363098989,0.048590341551764775,4
snv_logistic_regression,development_leave_one_constructed_batch_out,5,126,0.9444444444444444,0.9457720588235294,0.9466222651083894,0.14074732982194155,0.07096789299298967,0.045274501174409704,7
snv_logistic_regression,development_leave_one_constructed_batch_out,6,126,0.9365079365079365,0.9384191176470589,0.936353381161849,0.22573798012632815,0.09313156292511668,0.02553074976124859,8
snv_logistic_regression,development_leave_one_constructed_batch_out,7,126,0.9682539682539683,0.9669471153846154,0.968132244099986,0.14284428137508276,0.06146739341825415,0.0621771577829779,4
sg1_shrinkage_lda,development_leave_one_constructed_batch_out,0,127,0.984251968503937,0.9848345588235294,0.9848345588235294,0.0528209461967421,0.03151032606363564,0.014712870799147671,2
sg1_shrinkage_lda,development_leave_one_constructed_batch_out,1,127,0.9921259842519685,0.9921875,0.9923963133640553,0.0367574745910869,0.019631711285273693,0.01807419939697596,1
sg1_shrinkage_lda,development_leave_one_constructed_batch_out,2,127,0.9606299212598425,0.9618566176470589,0.9616324535679375,0.3601598968985444,0.06691477408805895,0.03072558893738138,5
sg1_shrinkage_lda,development_leave_one_constructed_batch_out,3,127,0.968503937007874,0.96875,0.9689511765116604,0.08503285525035084,0.04741265301332912,0.02198474781438889,4
sg1_shrinkage_lda,development_leave_one_constructed_batch_out,4,126,0.9761904761904762,0.9765625,0.9769338303821062,0.0704642813887914,0.03799344952045501,0.015115403880891635,3
sg1_shrinkage_lda,development_leave_one_constructed_batch_out,5,126,0.9761904761904762,0.9765625,0.9764872224549644,0.0496449061954612,0.033616520160288925,0.021706790861355865,3
sg1_shrinkage_lda,development_leave_one_constructed_batch_out,6,126,0.9603174603174603,0.9613970588235294,0.9603172178777017,0.14081774628072233,0.06093565875465493,0.028447496326874912,5
sg1_shrinkage_lda,development_leave_one_constructed_batch_out,7,126,0.9841269841269841,0.984375,0.9847222222222223,0.038828832575974574,0.02343702411981653,0.015178133707050926,2
sg1_logistic_regression,development_leave_one_constructed_batch_out,0,127,0.968503937007874,0.9692095588235294,0.9686274509803922,0.15774902785658304,0.06989316875786272,0.03675176481600423,4
sg1_logistic_regression,development_leave_one_constructed_batch_out,1,127,0.968503937007874,0.968093487394958,0.9680858505425631,0.14087033819943434,0.05914603424857123,0.03595097347192583,4
sg1_logistic_regression,development_leave_one_constructed_batch_out,2,127,0.937007874015748,0.9384191176470589,0.9386008747340578,0.41266411515961793,0.09112413947788424,0.02328811593386497,8
sg1_logistic_regression,development_leave_one_constructed_batch_out,3,127,0.984251968503937,0.984375,0.9847222222222223,0.07503495259793729,0.0381825860556629,0.03032387144910846,2
sg1_logistic_regression,development_leave_one_constructed_batch_out,4,126,0.9761904761904762,0.9765625,0.9760603345280765,0.07380503409823598,0.037547990248127064,0.019669304195530667,3
sg1_logistic_regression,development_leave_one_constructed_batch_out,5,126,0.9841269841269841,0.984375,0.9840909090909091,0.061567297163894065,0.029713197494680592,0.02220752618450804,2
