sample_index,sample_id,label,class_code,origin_zh,source_cube,source_replicate,seed_id,constructed_batch,analysis_split,relative_csv_path,relative_mat_path,csv_path_sha256,mat_path_sha256,csv_size_bytes,mat_size_bytes,development_csv_sha256,mat_content_sha256
0,0-1/1,0,HBS,河北石家庄,0-1,1,1,1,development,0-1/1.csv,0-1/1.mat,30c7b29d8551a8355fd8961cab5a1e1c89c81f2b8a3efa36592b7cad1fa1952f,9a9b1a87649e67ce3fd67f6df3d17c7a9448acbf7d2acb526225de83e3e846d3,12027,1114584,e7b2110341039e692617534dd6a4ab3c9ebf7557f6e5a32eb6c39adb4be070fb,not_read_in_development
1,0-1/2,0,HBS,河北石家庄,0-1,1,2,4,development,0-1/2.csv,0-1/2.mat,ca307307631e94e30adca9dc6e10e85fba45d5ae1cf260fd0a401ad1c9f7193d,89efc54ee9872f59c7b38b99f223429d4d2303a61d66a4cc20a24bcbf6aa887f,12012,1285130,f675fc1dc6cee6bd25222a32ca0efc7431d6bb30b19b36ee6fc5bef8703ba348,not_read_in_development
3,0-1/4,0,HBS,河北石家庄,0-1,1,4,5,development,0-1/4.csv,0-1/4.mat,19ef5141bdc7d13dc3e96fe93df253a8e90e145704fbf9abddbc201ccc2cd2f1,cb6493e4ae0132a7e0333c8f2fed20ad1aa0d3b5435776d28237fb726e0bb743,12016,1279169,2ea178ec7232cc27312265ddef19110220daa742a1752b404ebc3bcb9f6e6a31,not_read_in_development
4,0-1/5,0,HBS,河北石家庄,0-1,1,5,6,development,0-1/5.csv,0-1/5.mat,4907b88bb649fc422324f344982a51c11e1987cfa9a10041c8b2f890eaf3ae80,a1bc2028efb0ecb4c92aae1e56a092603bde9678471732874874b0aabf93bc8b,12031,1145909,2e99316d9cfc73b69e03567ab26972aa39d8be1bd3aeb1737dab78bc404ff7b2,not_read_in_development
5,0-1/6,0,HBS,河北石家庄,0-1,1,6,5,development,0-1/6.csv,0-1/6.mat,527e2003b050414d43ae7dd225a8de03109bc880b0acb708a4bccd9e2d704570,c7ad08c0dc0d5954b141261e431204d23810fd3e271b1953f459f1a88af70250,12026,1146141,3d4b93342ef1d78b86e35495ec7a277aec4399e6825be1ca7e5ba93a6a5809d9,not_read_in_development
6,0-1/7,0,HBS,河北石家庄,0-1,1,7,7,development,0-1/7.csv,0-1/7.mat,c7d2743e63b62b4d9b34d0955d60bcd4e3dba707215f5f5934328d922b42d5be,2ffc7a1027ef86a108c6b29364e592cf04e1f944e454b257cbda8045918d4a1e,12027,1273654,6e904768d4809d8dd2c6b3b4e4e2959553666579fd8b5d314d3e87abd9bd4465,not_read_in_development
7,0-1/8,0,HBS,河北石家庄,0-1,1,8,3,development,0-1/8.csv,0-1/8.mat,ff163f52bbd15ea25f9dbb09871811802a7e63720a61dc796dd951d3853bc709,f4a93c24e959e62d02467de0ff0fef3d36d1d9b562d46d1823cb416c0bb42fed,12038,1354606,8ca8754d46451c3cc20f95f3b1720a1d0442c0893103d525620468384a6d6688,not_read_in_development
8,0-1/9,0,HBS,河北石家庄,0-1,1,9,0,development,0-1/9.csv,0-1/9.mat,2addffbab36b4f7b1ae1c2cb962e455c7dfd018a529da2c0aff9874d239af63d,a4dc36d5c1397c48f58888e4d7e592b64501c26259e1e62363b9e1def21b23ea,12024,1472839,e28d03fe2f3cd860c70366548eb5967077919adffa425e7c21fc9279c1f7c261,not_read_in_development
9,0-1/10,0,HBS,河北石家庄,0-1,1,10,3,development,0-1/10.csv,0-1/10.mat,320b203b6acf792e71429a94c565e92d3968c2ec3c06707cb1551a9470fe4927,cde05c6137634716882fd6cd197fcc816df6a3ef276074032df1af372b8af472,12021,1033802,63ac8e610f72820f74f97c615cc63360408a05922a255f5c11595ad6670ea628,not_read_in_development
10,0-1/11,0,HBS,河北石家庄,0-1,1,11,4,development,0-1/11.csv,0-1/11.mat,378a068ca1236c718e5dc0bc729fd72feac47223dd2b93c589b9046d43e7cbf9,0ab29e636f386b7c07e37c2b036c706bf8ad63130236ac5b24c386cae1f1c668,12024,1192216,8575bcea202a1981588eea0d6dd649a6294cf11e35515711d9d9fa26c6e333d4,not_read_in_development
11,0-1/12,0,HBS,河北石家庄,0-1,1,12,0,development,0-1/12.csv,0-1/12.mat,01cc14e391504c74be203245b0f658ce90448ce660341dd7d5a2c89b885bae03,a36294fd1c10f26553b44f378cd4566bc3a015c78939241bee57ae5becf36f88,12032,1373291,be175a548977cf25bbe7882d6961d4c634d5a0ea4fb8bdbfc6a1fe1f14f7784c,not_read_in_development
