candidate_id,outer_held_batch,interval_number,first_band_index,last_band_index,start_nm,end_nm,n_bands
ANOVA:fixed:8:LDA,0,1,183,183,1282.787354,1282.787354,1
ANOVA:fixed:8:LDA,0,2,262,268,1425.156128,1435.6875,7
ANOVA:fixed:8:LDA,1,1,183,183,1282.787354,1282.787354,1
ANOVA:fixed:8:LDA,1,2,262,268,1425.156128,1435.6875,7
ANOVA:fixed:8:LDA,2,1,183,183,1282.787354,1282.787354,1
ANOVA:fixed:8:LDA,2,2,262,268,1425.156128,1435.6875,7
ANOVA:fixed:8:LDA,3,1,183,183,1282.787354,1282.787354,1
ANOVA:fixed:8:LDA,3,2,262,268,1425.156128,1435.6875,7
ANOVA:fixed:8:LDA,4,1,183,183,1282.787354,1282.787354,1
ANOVA:fixed:8:LDA,4,2,262,268,1425.156128,1435.6875,7
ANOVA:fixed:8:LDA,5,1,183,183,1282.787354,1282.787354,1
ANOVA:fixed:8:LDA,5,2,262,268,1425.156128,1435.6875,7
ANOVA:fixed:8:LDA,6,1,183,183,1282.787354,1282.787354,1
ANOVA:fixed:8:LDA,6,2,262,268,1425.156128,1435.6875,7
ANOVA:fixed:8:LDA,7,1,183,183,1282.787354,1282.787354,1
ANOVA:fixed:8:LDA,7,2,261,267,1423.318726,1433.920654,7
ANOVA:fixed:8:LR,0,1,183,183,1282.787354,1282.787354,1
ANOVA:fixed:8:LR,0,2,262,268,1425.156128,1435.6875,7
ANOVA:fixed:8:LR,1,1,183,183,1282.787354,1282.787354,1
ANOVA:fixed:8:LR,1,2,262,268,1425.156128,1435.6875,7
ANOVA:fixed:8:LR,2,1,183,183,1282.787354,1282.787354,1
ANOVA:fixed:8:LR,2,2,262,268,1425.156128,1435.6875,7
ANOVA:fixed:8:LR,3,1,183,183,1282.787354,1282.787354,1
ANOVA:fixed:8:LR,3,2,262,268,1425.156128,1435.6875,7
ANOVA:fixed:8:LR,4,1,183,183,1282.787354,1282.787354,1
ANOVA:fixed:8:LR,4,2,262,268,1425.156128,1435.6875,7
ANOVA:fixed:8:LR,5,1,183,183,1282.787354,1282.787354,1
ANOVA:fixed:8:LR,5,2,262,268,1425.156128,1435.6875,7
ANOVA:fixed:8:LR,6,1,183,183,1282.787354,1282.787354,1
ANOVA:fixed:8:LR,6,2,262,268,1425.156128,1435.6875,7
ANOVA:fixed:8:LR,7,1,183,183,1282.787354,1282.787354,1
ANOVA:fixed:8:LR,7,2,261,267,1423.318726,1433.920654,7
ANOVA:fixed:12:LDA,0,1,182,183,1280.916992,1282.787354,2
ANOVA:fixed:12:LDA,0,2,260,269,1421.72644,1437.366943,10
ANOVA:fixed:12:LDA,1,1,182,183,1280.916992,1282.787354,2
ANOVA:fixed:12:LDA,1,2,260,269,1421.72644,1437.366943,10
ANOVA:fixed:12:LDA,2,1,182,183,1280.916992,1282.787354,2
ANOVA:fixed:12:LDA,2,2,260,269,1421.72644,1437.366943,10
ANOVA:fixed:12:LDA,3,1,182,184,1280.916992,1284.636719,3
ANOVA:fixed:12:LDA,3,2,260,268,1421.72644,1435.6875,9
ANOVA:fixed:12:LDA,4,1,182,184,1280.916992,1284.636719,3
ANOVA:fixed:12:LDA,4,2,260,268,1421.72644,1435.6875,9
ANOVA:fixed:12:LDA,5,1,182,183,1280.916992,1282.787354,2
