sample_index,sample_id,label,class_code,source_cube,source_replicate,seed_id,constructed_batch,analysis_split,relative_mat_path,mat_path_sha256,mat_size_bytes,foreground_pixels,inner_pixels,outer_pixels,foreground_std_features,foreground_iqr_features,radial_features,morphology_features,extracted_mat_feature_sha256,mat_content_sha256
0,0-1/1,0,HBS,0-1,1,1,1,development,0-1/1.mat,9a9b1a87649e67ce3fd67f6df3d17c7a9448acbf7d2acb526225de83e3e846d3,1114584,251,121,130,392,392,392,5,4b5facb29b8977cc7f0497ae768990d19ead1ba3d46260fc06575afffcff05cd,not_computed_in_blind_development
1,0-1/2,0,HBS,0-1,1,2,4,development,0-1/2.mat,89efc54ee9872f59c7b38b99f223429d4d2303a61d66a4cc20a24bcbf6aa887f,1285130,292,141,151,392,392,392,5,2f8b55914d1438de82557ccd27b712f77c90ba713aab30f375d806107acee912,not_computed_in_blind_development
3,0-1/4,0,HBS,0-1,1,4,5,development,0-1/4.mat,cb6493e4ae0132a7e0333c8f2fed20ad1aa0d3b5435776d28237fb726e0bb743,1279169,291,136,155,392,392,392,5,e6f185df62310f29eab58891add0c4db0e6a1cd3b2524fd9dbe33b54bad13285,not_computed_in_blind_development
4,0-1/5,0,HBS,0-1,1,5,6,development,0-1/5.mat,a1bc2028efb0ecb4c92aae1e56a092603bde9678471732874874b0aabf93bc8b,1145909,259,129,130,392,392,392,5,6f30b8bed8ea0e275d08106b71b12b32be53989aa5d02588293df5002a5b535b,not_computed_in_blind_development
5,0-1/6,0,HBS,0-1,1,6,5,development,0-1/6.mat,c7ad08c0dc0d5954b141261e431204d23810fd3e271b1953f459f1a88af70250,1146141,259,128,131,392,392,392,5,b2ae3859223e43d62b13bb939eec4796efcfe18349d0c2879a6a3efa75d295ef,not_computed_in_blind_development
6,0-1/7,0,HBS,0-1,1,7,7,development,0-1/7.mat,2ffc7a1027ef86a108c6b29364e592cf04e1f944e454b257cbda8045918d4a1e,1273654,291,140,151,392,392,392,5,648b7fcfbb9b536102f6aa9202ba904bbcdf6f351c28ed33df2f3621b4511476,not_computed_in_blind_development
7,0-1/8,0,HBS,0-1,1,8,3,development,0-1/8.mat,f4a93c24e959e62d02467de0ff0fef3d36d1d9b562d46d1823cb416c0bb42fed,1354606,309,145,164,392,392,392,5,5883c6f586bafd71b4a3657444b853e852f9f3f821fba3b8d1b734ffc391e57d,not_computed_in_blind_development
8,0-1/9,0,HBS,0-1,1,9,0,development,0-1/9.mat,a4dc36d5c1397c48f58888e4d7e592b64501c26259e1e62363b9e1def21b23ea,1472839,339,165,174,392,392,392,5,1e4a4b88b9a5819e8182ca05a4e2dc2778b6b99388cb133dfd83f924bf6eaacb,not_computed_in_blind_development
9,0-1/10,0,HBS,0-1,1,10,3,development,0-1/10.mat,cde05c6137634716882fd6cd197fcc816df6a3ef276074032df1af372b8af472,1033802,233,110,123,392,392,392,5,aa78b945629437075b7b30a16eb96d2829a7e8abe77e35fe2f9dcce5228f00a9,not_computed_in_blind_development
10,0-1/11,0,HBS,0-1,1,11,4,development,0-1/11.mat,0ab29e636f386b7c07e37c2b036c706bf8ad63130236ac5b24c386cae1f1c668,1192216,271,128,143,392,392,392,5,ba312a3a3d3cdfb6821e3c50d4602860d9eaa5ccf34e04b59db14c9a2a8a497a,not_computed_in_blind_development
