model_id,role,view,classifier,n,accuracy,balanced_accuracy,macro_f1,negative_log_likelihood,multiclass_brier_score,expected_calibration_error,equal_constructed_batch_accuracy,fold_balanced_accuracy_min,fold_balanced_accuracy_max,fold_balanced_accuracy_mean,fold_balanced_accuracy_sd,errors,same_oof_selected,late_spectral_weight,late_mat_weight
morphology__shrinkage_lda,development_mat_view_candidate,morphology,shrinkage_lda,1012,0.25889328063241107,0.2673377076525054,0.24512494821140768,1.8822954948251307,0.8226178880801359,0.033893959626964155,0.2588973253343332,0.2239819004524887,0.3149290966386555,0.26741084053813835,0.034561584608154415,750,0,,
morphology__logistic_regression,development_mat_view_candidate,morphology,logistic_regression,1012,0.2549407114624506,0.2633569921023965,0.24030558285395265,1.8795737205113319,0.8220339191962757,0.03233679669794934,0.2549368828896388,0.2033219537815126,0.32320115546218486,0.2634269452973497,0.04140355572555687,754,0,,
morphology__rbf_svm,development_mat_view_candidate,morphology,rbf_svm,1012,0.2648221343873518,0.2718481924019608,0.2450532301308829,1.890849453304681,0.8252135602927843,0.03611144023601129,0.2647872140982377,0.19004524886877827,0.34841123949579833,0.2720771301308985,0.051671761583697656,744,0,,
morphology__extra_trees,development_mat_view_candidate,morphology,extra_trees,1012,0.23517786561264822,0.24398956631263616,0.23194151456661116,1.9224533394212497,0.8357195158400369,0.07422388255529905,0.2352284089488814,0.2074731334841629,0.28135605203619907,0.2443584104314803,0.030953762549618263,774,0,,
foreground_std__shrinkage_lda,development_mat_view_candidate,foreground_std,shrinkage_lda,1012,0.6284584980237155,0.6310657509531591,0.6199040614363708,0.978429307384417,0.49709572034966454,0.06355802567584178,0.628476127984002,0.5451781674208145,0.6857324660633484,0.63115796198287,0.051386306395973774,376,0,,
foreground_std__logistic_regression,development_mat_view_candidate,foreground_std,logistic_regression,1012,0.6254940711462451,0.6283743532135077,0.6166954095592547,0.9948286402575,0.5032197952099836,0.09057703688109182,0.6255077490313711,0.5451781674208145,0.6719103506787331,0.6284252282643827,0.0412170780117265,379,0,,
foreground_std__rbf_svm,development_mat_view_candidate,foreground_std,rbf_svm,1012,0.46047430830039526,0.4650139569716776,0.44093918298495804,1.3187234503202023,0.6526295955368893,0.04743026582145943,0.46046587926509186,0.40323004201680673,0.5057116596638656,0.46495990223012285,0.034747805230431035,546,0,,
foreground_std__extra_trees,development_mat_view_candidate,foreground_std,extra_trees,1012,0.41205533596837945,0.41537734885620914,0.40841666072109784,1.5611990094810193,0.707198913944136,0.06025726096477106,0.4121047369078865,0.37616657239819007,0.49738404977375567,0.4154727395765999,0.041775126186527935,595,0,,
foreground_iqr__shrinkage_lda,development_mat_view_candidate,foreground_iqr,shrinkage_lda,1012,0.4051383399209486,0.40508195465686275,0.4024241025746177,1.565829208043526,0.7301300781506853,0.05521878994522714,0.40507436570428695,0.3569358031674208,0.4692752100840336,0.4052822751696833,0.04407381408534529,602,0,,
foreground_iqr__logistic_regression,development_mat_view_candidate,foreground_iqr,logistic_regression,1012,0.3784584980237154,0.378138191040305,0.37653359136808806,1.574510702076588,0.7353291031675444,0.07023754198732397,0.3783902012248469,0.3245141806722689,0.4373686974789916,0.3782844568115708,0.04995381465343643,629,0,,
foreground_iqr__rbf_svm,development_mat_view_candidate,foreground_iqr,rbf_svm,1012,0.3547430830039526,0.35438155296840956,0.3282795488250038,1.6200193743782236,0.7535927405636669,0.04836993884579162,0.3547134733158355,0.28195701357466063,0.41550682773109243,0.3544038108031674,0.04264841084861392,653,0,,
foreground_iqr__extra_trees,development_mat_view_candidate,foreground_iqr,extra_trees,1012,0.3201581027667984,0.3212848073257081,0.31606326115765565,1.7910606448528021,0.7863426509699543,0.05713329799854682,0.3201474815648044,0.2771796218487395,0.3579963235294118,0.32091914289754364,0.032161953553228456,688,0,,
radial_inner_minus_outer__shrinkage_lda,development_mat_view_candidate,radial_inner_minus_outer,shrinkage_lda,1012,0.607707509881423,0.609866472630719,0.6033004827653641,1.0572584422150473,0.5249444573893164,0.09518109164429468,0.6077365329333834,0.5454306722689075,0.6502757352941176,0.6100763322155786,0.03171676495341991,397,0,,
radial_inner_minus_outer__logistic_regression,development_mat_view_candidate,radial_inner_minus_outer,logistic_regression,1012,0.6254940711462451,0.6272233285675382,0.619633423988895,1.0459109399058963,0.5223385995038468,0.12475046894113971,0.6255311836020497,0.5677521008403361,0.6563156512605042,0.627563555470265,0.029632048129434985,379,0,,
radial_inner_minus_outer__rbf_svm,development_mat_view_candidate,radial_inner_minus_outer,rbf_svm,1012,0.39822134387351776,0.40363732298474947,0.37348984716147415,1.4439023470880044,0.7077484382883836,0.046895730394731786,0.39834083239595053,0.3318671218487395,0.46104355203619907,0.40396483112475756,0.0474298078841151,609,0,,
radial_inner_minus_outer__extra_trees,development_mat_view_candidate,radial_inner_minus_outer,extra_trees,1012,0.33201581027667987,0.33398224741285404,0.33049598343009545,1.6827461574937905,0.7684596271815219,0.12111586138453899,0.3321069241344832,0.27855829831932777,0.41144654977375567,0.3341857476163542,0.04244902452945481,676,0,,
mat_all__shrinkage_lda,development_mat_view_candidate,mat_all,shrinkage_lda,1012,0.7035573122529645,0.7080546194172114,0.7042849969860714,0.8152946067398189,0.40918029629359187,0.04954809156060006,0.7036073615798025,0.6790966386554622,0.7522977941176471,0.7082994555995474,0.023901076264170627,300,0,,
mat_all__logistic_regression,development_mat_view_candidate,mat_all,logistic_regression,1012,0.691699604743083,0.6959082244008714,0.6929559046456839,0.8644631743812301,0.43221594423159165,0.03463720352236689,0.6916791651043619,0.6255302601809956,0.7440257352941176,0.695933661926309,0.03373148055392607,312,0,,
mat_all__rbf_svm,development_mat_view_candidate,mat_all,rbf_svm,1012,0.5128458498023716,0.5195014637799564,0.5018198114375607,1.22917574583236,0.6110241023633248,0.06607965231447899,0.5128655793025871,0.4849406108597285,0.6176824095022625,0.5195173622333549,0.04347320262483905,493,0,,
mat_all__extra_trees,development_mat_view_candidate,mat_all,extra_trees,1012,0.40019762845849804,0.4054330065359477,0.39301286501209576,1.4663211476081164,0.7022466256769845,0.043443237989198545,0.40017654043244594,0.3536481900452489,0.4500494909502262,0.40536623303167424,0.04092773406435754,607,0,,
sg1_plus_mat_all_early__shrinkage_lda,development_mat_view_candidate,sg1_plus_mat_all_early,shrinkage_lda,1012,0.9792490118577075,0.9796645220588236,0.9796708221242221,0.09065366140247312,0.030302763658496455,0.008913325297528689,0.9792604049493814,0.9613970588235294,0.9921875,0.9796645220588236,0.009164055311314194,21,0,,
sg1_plus_mat_all_early__logistic_regression,development_mat_view_candidate,sg1_plus_mat_all_early,logistic_regression,1012,0.9604743083003953,0.9611587690631809,0.9607986185656667,0.16122301530956437,0.06103894143975329,0.005879534497270065,0.9605049368828895,0.9441964285714286,0.984375,0.9612001050420169,0.01329369130126858,40,0,,
sg1_plus_mat_all_early__rbf_svm,development_mat_view_candidate,sg1_plus_mat_all_early,rbf_svm,1012,0.9179841897233202,0.9191006263616558,0.9188114125027113,0.2947286196654419,0.13302898882603867,0.06756069088035083,0.9180493063367079,0.8915441176470589,0.96875,0.9190974466709761,0.024157590534434385,83,0,,
sg1_plus_mat_all_early__extra_trees,development_mat_view_candidate,sg1_plus_mat_all_early,extra_trees,1012,0.8162055335968379,0.8188019131263616,0.8163419539857113,0.6625926581221722,0.3253310986201688,0.20138480605299344,0.81618703912011,0.7674632352941176,0.8754595588235294,0.8188845850840336,0.033256230913897004,186,0,,
sg1_spectral_shrinkage_lda,fixed_spectral_reference,sg1_mean_spectrum,shrinkage_lda,1012,0.9752964426877471,0.9758157169117647,0.9758497182933248,0.10443198175348185,0.040186201785716316,0.013267092966242969,0.9752921509811274,0.9613970588235294,0.9921875,0.9758157169117647,0.011189472071604192,25,0,,
sg1_spectral_logistic_regression,fixed_spectral_reference,sg1_mean_spectrum,logistic_regression,1012,0.9703557312252964,0.9708095043572985,0.9705912214092587,0.14866651034298964,0.05534425608626784,0.014214427652375006,0.9703787026621673,0.9384191176470589,0.984375,0.9708508403361344,0.014618281818568658,30,0,,
sg1_spectral_rbf_svm_group_temperature,fixed_spectral_reference,sg1_mean_spectrum,rbf_svm_group_temperature,1012,0.9476284584980237,0.9483485668572985,0.9480958263563404,0.27030179573990626,0.09928599467671782,0.03363678828549408,0.9476002999625046,0.9223345588235294,0.9676339285714286,0.9483899028361344,0.014180995202565171,53,0,,
sg1_spectral_probability_ensemble,fixed_spectral_reference,sg1_mean_spectrum,equal_probability_ensemble,1012,0.9822134387351779,0.9824133646514162,0.9823958626309626,0.1054694419521023,0.04278948892702784,0.04399102889860949,0.9822053493313336,0.9692095588235294,0.9921875,0.9824547006302522,0.008755156203003003,18,0,,
late_w0.25__morphology__shrinkage_lda,same_oof_late_fusion_exploratory_only,morphology,spectral_ensemble_plus_shrinkage_lda,1012,0.9288537549407114,0.9302534381808278,0.9288206413814983,1.0281616375479492,0.49155243881084476,0.5465362009008748,0.9288760779902512,0.8924632352941176,0.9765625,0.9302947741596639,0.029741433998655583,72,0,0.25,0.75
late_w0.50__morphology__shrinkage_lda,same_oof_late_fusion_exploratory_only,morphology,spectral_ensemble_plus_shrinkage_lda,1012,0.9782608695652174,0.9785071146514162,0.9782057754947774,0.6075911140989537,0.25122588919556293,0.41730182410855676,0.9782605299337583,0.9692095588235294,0.9848345588235294,0.9785484506302522,0.0068593786683060765,22,0,0.5,0.5
late_w0.75__morphology__shrinkage_lda,same_oof_late_fusion_exploratory_only,morphology,spectral_ensemble_plus_shrinkage_lda,1012,0.9802371541501976,0.9804602396514162,0.9804558116334197,0.32053988854482457,0.10163823923429065,0.2317664573284733,0.9802368453943258,0.9692095588235294,0.9848345588235294,0.9805015756302522,0.006983763732653458,20,0,0.75,0.25
late_w0.25__morphology__logistic_regression,same_oof_late_fusion_exploratory_only,morphology,spectral_ensemble_plus_logistic_regression,1012,0.9337944664031621,0.9352511403867102,0.9337749872456577,1.029429034343444,0.4912118447300433,0.5544238650684375,0.93381296087989,0.8924632352941176,0.9774816176470589,0.9352924763655462,0.02679594017260181,67,0,0.25,0.75
